measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2001,12719.763033436600,20093.33818867430,6529.389260761760
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2002,12786.91720894290,19879.867472519300,6583.881256293180
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2003,12860.686452833100,20051.992969631000,6653.172367471290
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2004,12944.712287426400,20148.09617387560,6758.154196936260
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2005,13092.680740173000,20320.477643603100,6874.386380921600
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2006,13361.419083202300,20503.31794497990,7028.980274662640
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2007,13677.164332950400,21030.432494313700,7281.38039832374
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2008,13985.23770309300,21403.54085549200,7499.403298426970
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2009,14243.993957580300,21773.15372290520,7437.6129972398400
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2010,14395.910093859000,22235.88492693000,7610.683136753120
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2011,14302.97685292080,21944.711722801200,7567.78995084664
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2012,13997.072198032200,21524.794456834400,7427.048716072400
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2013,13573.65124784930,20796.69380705150,7315.720951297920
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2014,13178.9558163561,20166.990742283900,7090.8306171200200
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2015,12954.76882995650,19875.276623419100,6968.774345478920
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2016,12904.144324448600,19654.300101100100,7025.998500188840
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2017,12861.835059014900,19289.92781297650,6922.951745901410
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2018,12835.14169933320,19209.14069772150,7037.3034397443900
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2019,12858.19793053460,19324.248490813000,6994.275680818140
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2020,14453.381475107700,23345.275355240400,7459.665930549750
YLDs (Years Lived with Disability),Maryland,Both,All ages,Depressive disorders,Number,2021,14170.246190662100,22520.7305471744,7416.992394706140
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1990,2309.747558740710,5243.265738413020,635.2131849182500
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1991,2297.201349756870,5297.617521106340,639.4220770748400
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1992,2282.725982877480,5216.135815961930,625.7868289206220
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1993,2270.185879872560,5167.152068955750,621.9646001839520
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1994,2271.3865253671600,5089.088334904760,622.1055605087550
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1995,2273.7709858749600,5121.482624896720,627.2246214709270
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1996,2344.8487965438200,5255.8617011904100,658.8149314817030
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1997,2501.4609007482000,5669.328436044490,704.19434639419
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1998,2687.1150959008800,6068.869244500190,765.9895749898360
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,1999,2851.946062418120,6557.778151571280,814.7528648401660
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2000,2937.118714932980,6641.525316466040,843.3168602575650
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2001,2955.7150168048400,6687.19393423743,855.3440445931080
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2002,2954.0202616832800,6691.272193367760,866.4900014732230
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2003,2937.081381215600,6617.9909541424300,881.4288071459770
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2004,2927.1138092365800,6607.548713850370,907.0522172875140
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2005,2934.13088147854,6592.313455755950,934.1658631341090
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2006,2970.637440634680,6573.70701100358,937.7457595989210
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2007,3017.72598896632,6558.153497616810,964.9115339222450
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2008,3067.6546458128800,6729.779078874470,987.0875424977890
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2009,3109.4436787113800,6743.812681973270,1008.2159056009600
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2010,3138.8791704672000,6773.961977802440,1006.8782747783200
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2011,3132.718266015550,6767.635369694950,1004.430080865080
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2012,3089.390185855680,6682.848226278590,1010.833182546330
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2013,3033.0352197570700,6694.978557702410,953.1160692913570
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2014,2990.1057498411600,6489.740323131630,923.4341992859230
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2015,2990.045108276880,6545.124750126690,912.2470468385110
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2016,3056.2261897692500,6696.82256400808,925.1420991392300
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2017,3164.645785709280,6939.877193529650,948.0436092346670
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2018,3263.6023480684200,7179.840316086290,942.9175431038430
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2019,3293.8271769752500,7347.181130270270,956.6349797154720
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2020,3246.3146060213600,7227.895941633910,927.491499372586
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Anxiety disorders,Number,2021,3247.7512303466300,7282.258521017660,915.642700695208
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1990,7271.903493945710,12077.031909036000,3420.1898537485200
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1991,7715.101286208890,12861.699218945600,3603.7279526011200
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1992,8109.287857418950,13608.98629618910,3790.9505761602300
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1993,8466.861970632950,14144.63411769560,3934.691955519950
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1994,8787.662367833490,14826.473113231700,4058.9977146742400
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1995,9054.328384348070,15429.170648954600,4173.921701465480
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1996,9363.775204453160,15595.730879725100,4301.545056114180
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1997,9743.169361269270,16223.99554018550,4473.654000827990
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1998,10135.330666812100,16861.571544458400,4653.512047160350
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,1999,10459.643577651300,17528.748657839400,4769.5286620889400
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2000,10621.157407822400,17641.248434447200,4879.4962368859
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2001,10630.176948549900,17558.56872273290,4942.484391621380
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2002,10584.045928350900,17379.440098282700,4970.850086711520
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2003,10513.755741322500,17384.201736775000,4941.42317370133
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2004,10471.847103849100,17580.826427577400,5009.183615773010
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2005,10492.736322918400,17597.344348908700,5018.732664613890
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2006,10591.37773273620,17663.82171582800,5131.66314861834
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2007,10682.901678248500,17516.27357263670,5200.582774304690
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2008,10788.914204640400,17502.601781727400,5273.23683878942
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2009,10890.42824612080,17737.418853235800,5337.883380025680
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2010,10972.742254158200,17928.82267687370,5433.82325600806
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2011,10950.109160662300,17890.512295634000,5379.244672385690
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2012,10795.798170949200,17651.48900655420,5334.67197531943
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2013,10599.220061147800,17623.17277370300,5276.03821724694
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2014,10410.79986402930,17366.168401943300,5240.026733041790
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2015,10337.599608265100,17293.241779653300,5240.790413121720
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2016,10361.943968830600,17423.17196476980,5290.245733313660
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2017,10399.255486074200,17527.126646579900,5227.865418860210
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2018,10455.056749417400,17639.19007176230,5234.564733333610
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2019,10519.106538281800,17746.914479090900,5323.261251535690
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2020,11847.915487067600,20557.78891837420,5507.12596132915
YLDs (Years Lived with Disability),Massachusetts,Both,All ages,Depressive disorders,Number,2021,11494.76027155340,19787.11301769710,5519.451378551120
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1990,1360.1727096667000,3228.3960989022900,349.5075785967640
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1991,1349.6461343376700,3278.0593130211200,344.8088744381610
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1992,1340.0088538974800,3250.922809645620,345.6741806058180
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1993,1328.6744702072000,3183.589576743020,340.01064155739900
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1994,1320.6122603237200,3183.6468553534400,330.84731692896200
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1995,1314.2007573591300,3185.543162738650,321.41292135430600
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1996,1339.3072673163800,3235.583312654450,338.4813538787760
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1997,1412.3968054478300,3484.952625982810,351.52347936224700
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1998,1500.7286504133900,3696.695004859550,366.1006578484710
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,1999,1573.9010501505900,3915.685249934660,395.8011483997870
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2000,1597.547125500990,4026.502994105440,397.23452821250100
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2001,1575.543795072690,3933.84630087974,395.8264911634100
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2002,1538.016820680550,3859.716844642970,380.7558842691830
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2003,1498.469386686500,3714.9332333955100,369.88358066698600
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2004,1462.3118669456700,3627.7413675016400,373.36819761218600
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2005,1431.598370258070,3549.98149933305,366.5324974145720
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2006,1409.111583324320,3486.6352636455100,359.8492250411090
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2007,1396.0860466867700,3501.6321001351800,365.7998934470920
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2008,1387.9656578522000,3502.7320799782700,363.62023049361300
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2009,1379.4476678623600,3428.9252996715500,367.0992423298730
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2010,1366.1135419209900,3436.8281726773,366.611150389713
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2011,1338.2092549177300,3359.560210774400,350.7794996585700
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2012,1303.452861578960,3247.5115088611100,350.81306172645200
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2013,1272.295095158240,3183.870008983860,351.2882252862820
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2014,1253.0429323857900,3118.9542705848800,344.91853000257900
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2015,1250.0551019749300,3081.975325780370,347.6047331534300
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2016,1274.6191876124000,3067.4781570680000,355.9167903498120
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2017,1319.0838440761100,3171.66508204433,380.0150771574410
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2018,1359.1108479011700,3237.3534692145000,380.5286266291230
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2019,1381.4060490605900,3345.513828143840,392.66591645358100
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2020,1377.9924867793000,3272.3448147819600,382.170915359867
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Anxiety disorders,Number,2021,1431.2256755257400,3389.4300807015100,414.850905037223
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1990,12031.14784632480,20077.94222193320,5346.612514887700
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1991,12657.114798187100,21053.81853935160,5546.492487563920
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1992,13263.675454851700,21957.61422305,5778.921204864980
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1993,13852.214719376300,22893.99574878840,5964.254656741470
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1994,14401.29270036470,23821.604638050900,6221.55027031231
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1995,14921.524958161100,24738.930375073900,6539.249367908560
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1996,15584.158231524700,25850.080602379800,6869.884312207480
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1997,16434.61591514190,27459.988871234500,7248.949688363900
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1998,17309.74011608650,28807.346869616900,7783.044380472580
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,1999,18038.19552154790,29864.77581902650,8406.28499015488
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2000,18455.915812883900,30705.132770120100,8664.668945217500
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2001,18654.07468156450,30735.546204761300,8899.3195760536
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2002,18702.101015712000,30567.366408242600,8837.7810457061
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2003,18744.79569936520,30495.492539247200,8901.308719971730
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2004,18774.88314644850,30277.50441061170,8970.376048676310
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2005,18876.87489332480,30462.70236349100,8944.052905796850
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2006,19051.889531255500,30865.29275052120,9159.356058812760
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2007,19233.793430361700,30766.626447822700,9207.8061085808
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2008,19424.95795789390,30964.930988525300,9367.832178225070
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2009,19566.575676160400,31350.274517627500,9528.583314120040
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2010,19619.313096624000,31185.4758872423,9490.286994925160
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2011,19468.08142493820,31102.39658967680,9486.659014075330
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2012,19135.3320434639,30575.744431040900,9540.943680736460
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2013,18674.50635165600,29860.90064415010,9221.347493560550
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2014,18300.839642527400,29170.81471089150,9124.427091281200
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2015,18079.30495392640,29035.15264061530,9071.744236002440
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2016,17982.857422641800,28785.877332066400,9099.996076557090
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2017,17925.74890974810,28891.370961960100,9094.037364572120
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2018,17861.22765855140,28610.19779437450,8921.943409787620
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2019,17823.473831532700,28343.9517522108,8944.699943990980
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2020,19898.347409355000,33922.71234610160,9542.276722420780
YLDs (Years Lived with Disability),Michigan,Both,All ages,Depressive disorders,Number,2021,19632.43105513780,33501.7939015733,9465.05801248582
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1990,1349.3553495416400,2935.790869751100,415.98667656174700
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1991,1351.3231222944300,2931.9571221850900,435.3199635641320
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1992,1351.1343853686100,2938.683955213030,434.22986091435300
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1993,1355.8922767805400,2960.784694339020,433.15352593087600
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1994,1363.8219620691900,3016.866490272350,443.366930216293
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1995,1372.0940392768300,3040.5620379956700,450.9210486798990
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1996,1418.1727905010300,3145.4200595598700,460.5050618712600
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1997,1513.3202959991600,3424.537628458510,486.3862703883620
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1998,1625.5575296064700,3630.543926750070,516.8916944420940
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,1999,1723.6925361350600,3848.016139926710,545.2942694393260
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2000,1771.3432313469400,3988.53873050489,561.6248173908080
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2001,1772.7253063388500,3999.413668560070,559.40675643583
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2002,1761.849254582820,3922.466303604900,563.0506177309050
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2003,1738.7598178054600,3838.492465680380,557.089928826238
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2004,1717.2238763001600,3760.091432840250,552.8668405654110
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2005,1702.4521962818500,3717.627897190950,540.0210867524630
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2006,1694.235241353470,3704.1292323889800,542.666199807257
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2007,1698.1740889106800,3691.0982592618700,551.8451128880380
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2008,1702.0264127778300,3679.0073650075000,557.3714854566740
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2009,1701.899551451020,3645.0784461414500,576.113403637459
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2010,1693.1989619582400,3630.7172708604800,579.2586565638190
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2011,1669.43157796181,3537.62217857592,570.0782283964120
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2012,1630.7036890864900,3440.3902850442800,552.2064913295680
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2013,1588.160435250080,3335.023967060210,532.7589273861490
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2014,1555.9701331028700,3271.723416969290,520.4034724177590
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2015,1543.8190764599400,3192.3292555767700,509.8100223447690
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2016,1566.151432218660,3275.960509814460,521.6498966331260
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2017,1612.124059259940,3382.3782588796100,530.6097461654140
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2018,1654.7980588448500,3490.927772609470,544.0220720989880
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2019,1669.7844654702000,3552.102556910240,542.3354031161530
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2020,1650.7028083360200,3480.2057970992400,535.085958349479
YLDs (Years Lived with Disability),Mississippi,Both,All ages,Anxiety disorders,Number,2021,1646.1922283751400,3443.517091423380,533.254767612702
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1990,4467.915659004210,7919.181451929430,1899.177632890490
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1991,4724.851535019520,8193.827300386430,1969.74355183964
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1992,4979.563144900170,8677.52529423657,2052.502402628820
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1993,5210.789361169340,9116.28579488707,2166.174369976310
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1994,5432.204183331000,9589.473895044610,2215.530196651740
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1995,5617.17179707943,10037.303321907000,2272.1403084908400
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1996,5830.655322309180,10314.9662155371,2348.8526351139200
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1997,6099.402953600860,10865.997802493000,2512.067321285650
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1998,6360.998898622660,11272.575524973200,2600.26147529792
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,1999,6566.172648102170,11532.047809654200,2690.391246296280
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2000,6663.918720299260,11737.909128446800,2752.943776843080
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2001,6656.985676662400,11698.042226899100,2751.7448664171300
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2002,6619.670540154370,11505.590250193600,2763.643406833150
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2003,6564.451145576800,11499.317743143600,2755.1339844178700
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2004,6529.428654797320,11432.103678284500,2763.3024383227500
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2005,6508.831330580170,11288.531058213200,2760.451785787200
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2006,6514.973191901230,11304.206901353500,2746.4355134923100
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2007,6546.838406248440,11429.046223488500,2786.1617760566400
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2008,6589.662219354300,11541.750163088500,2837.261247676710
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2009,6624.425490253290,11550.08627431910,2849.59238500933
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2010,6634.338471432870,11411.160205497900,2855.198723835600
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2011,6581.701855643510,11314.227714442400,2834.5614375523600
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2012,6462.461121385940,11107.99456745220,2797.030449365450
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2013,6329.210898044020,10788.634106870600,2770.00872277452
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2014,6213.746674872110,10519.86203638050,2712.265820609040
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2015,6163.37797284226,10461.074506748400,2718.6171452941900
YLDs (Years Lived with Disability),Minnesota,Both,All ages,Depressive disorders,Number,2016,6169.816138606300,10489.716600059900,2739.714142288870
